CustomerID,CustomerName,CustomerEmail,CustomerPhone,CustomerAddress,CustomerCity,CustomerState,CustomerZip,CustomerCountry,CustomerSegment,CustomerJoinDate
CUST-0024,Alicia Hubbard,barbara27@example.net,+1-374-429-6717x5655,7468 Shawn Island Suite 516,Lake Mary,Oregon,67950,United States,Home Office,15-09-2024
CUST-0023,Andrea Hall,kristin93@example.com,683-624-2102,74648 Kim Rapid Apt. 659,East Keithport,Vermont,33317,United States,Small Business,17-09-2020
CUST-0008,Andrea Jones,richarddavid@example.net,799.609.1699,534 Anderson Rue,North Susan,Colorado,39822,United States,Consumer,13-11-2022
CUST-0032,Andrew Ferrell,davispaige@example.org,(275)786-9261x7964,7351 Stephens Rue,Debraville,Florida,47513,United States,Consumer,19-11-2020
CUST-0054,Andrew Reeves,jstone@example.net,925.695.2694x95888,55169 Robles Stream Apt. 974,New William,North Carolina,86430,United States,Home Office,30-06-2024
CUST-0014,Angel Riggs,gibsonolivia@example.net,567.463.2016,83172 Contreras Points Suite 798,Lake Lance,Illinois,56434,United States,Corporate,25-09-2024
CUST-0087,Angela Davis,danafoster@example.net,001-706-723-4456,3132 Eric Expressway Suite 756,Haynesstad,New Jersey,16326,United States,Small Business,06-04-2023
CUST-0088,Ann Aguirre,margaret90@example.org,521-335-6804x42067,21003 James Locks Suite 199,South Kyle,Kentucky,34425,United States,Small Business,03-03-2025
CUST-0028,Barry Welch,wendy16@example.org,001-517-824-0050x45562,21969 Tyler Prairie,Finleyfort,Ohio,19259,United States,Home Office,28-09-2021
CUST-0005,Beth Keller,josephbrennan@example.com,383.546.5787,50983 Adrian Station,Lake Toddland,Wisconsin,83220,United States,Corporate,16-11-2020
CUST-0047,Bradley Coleman,lmorrison@example.net,951-215-4479x6275,640 Emily Lodge Suite 820,Holtstad,North Dakota,19215,United States,Home Office,28-10-2024
CUST-0082,Bradley Tran,kimberly04@example.org,398.236.4037x61379,2696 Payne Extensions Suite 109,Edwardsberg,Kansas,9352,United States,Corporate,26-08-2020
CUST-0057,Breanna Gilbert,johnsantiago@example.net,230.416.5712,773 Morris Rue Apt. 193,Port Amanda,Oklahoma,70644,United States,Home Office,10-04-2024
CUST-0045,Brian Stein,chenbailey@example.net,(446)309-5396,88888 Peter Mountains Apt. 654,South Danielle,South Carolina,98453,United States,Consumer,30-08-2020
CUST-0001,Brian Yang,garzaanthony@example.org,538.990.8386,26542 Susan Junction Apt. 161,North Judithbury,Iowa,47553,United States,Consumer,26-10-2024
CUST-0089,Carl Stein,david70@example.org,001-566-470-6625,7209 Deborah Parks Suite 870,North Wendyborough,Tennessee,11998,United States,Home Office,24-12-2021
CUST-0010,Carlos Whitney,joycearnold@example.com,-9271,45053 Elizabeth Knoll,Calderonton,Alabama,73886,United States,Consumer,01-01-2025
CUST-0084,Chad Smith,hbenton@example.net,001-642-352-4105x6481,8507 Michael Glens Apt. 913,West Elizabethburgh,Delaware,97596,United States,Corporate,16-02-2023
CUST-0021,Christopher Smith,joshuamccann@example.net,627-910-9477x7520,67190 Edward Port,Tinaborough,Maine,40325,United States,Consumer,03-01-2021
CUST-0070,Cody Cole,fgarcia@example.com,-7259,826 Dominic Hollow,Wardview,Connecticut,35681,United States,Corporate,18-01-2023
CUST-0030,Colleen Lee,erica21@example.net,+1-504-470-9521x4562,842 Sloan Orchard Suite 517,Kimberlybury,Rhode Island,10370,United States,Consumer,15-04-2021
CUST-0039,Connie Maxwell,dixondaniel@example.net,455.423.1243,77997 Lin Road,Warrenfurt,Maryland,41937,United States,Small Business,03-05-2021
CUST-0003,Crystal Johnson,richard13@example.net,001-653-876-7242x388,3287 Katelyn Wall Apt. 226,Lake Mark,Wyoming,78673,United States,Home Office,25-11-2020
CUST-0009,Daniel Baker,nicole35@example.com,(378)449-8084,18244 Jennifer Ford Suite 874,North Stephenshire,Connecticut,7159,United States,Small Business,16-01-2021
CUST-0033,Daniel Fowler,williamsmatthew@example.org,001-431-283-9335,28421 David Knolls Apt. 950,Jamesville,New Jersey,23339,United States,Home Office,28-11-2021
CUST-0069,David Jones,unovak@example.org,+1-647-573-5866x2961,42626 Ward Course,New Juliestad,Arkansas,1181,United States,Consumer,18-04-2025
CUST-0015,David Walsh,rsims@example.com,443-545-5812,231 Russell Plains Suite 603,Merrittfort,New Hampshire,55570,United States,Consumer,13-07-2022
CUST-0079,Diana Mayer,shawn75@example.net,5179518636,4589 Ashlee Oval Suite 001,Hayesland,Montana,82575,United States,Small Business,02-07-2024
CUST-0036,Dr. Gregory Hawkins,farmeraudrey@example.com,-10780,0229 Jones Streets Apt. 183,New Williamberg,Texas,49809,United States,Consumer,06-09-2022
CUST-0086,Elizabeth Dean,frichardson@example.org,001-883-620-6038x5050,83670 Jennifer Course,Smithborough,Maine,6255,United States,Home Office,10-03-2025
