OrderID,OrderLineNo,OrderDate,ShipDate,ShipMode,OrderStatus,PaymentMethod,Quantity,Discount,LineTotal,CustomerID,CustomerName,CustomerEmail,CustomerPhone,CustomerAddress,CustomerCity,CustomerState,CustomerZip,CustomerCountry,CustomerSegment,CustomerJoinDate,ProductID,ProductName,ProductCategory,ProductSubCategory,ProductBrand,ProductUnitPrice,ProductWeightKg,SupplierName,SupplierCountry,SalesPersonID,SalesPersonName,SalesPersonEmail,SalesPersonRegion,SalesPersonRegionManager,SalesPersonHireDate,StoreID,StoreCity,StoreState,StoreRegion
ORD-1001,3,21-02-2025,24-02-2025,Standard Class,Processing,Store Credit,5,0,3944.95,CUST-0078,Kim Carlson,mariopadilla@example.com,001-448-512-6042,536 Thomas Roads,Port Jamie,Arkansas,35722,United States,Corporate,21-09-2023,PROD-0048,Meridian Table 349,Furniture,Tables,Crestline,788.99,0.32,Smith-Hardin,Cook Islands,SP-012,Steven Klein,davidtodd@rush.com,South,Kevin Thompson,08-06-2023,ST-02,North Annaville,Maine,Central
ORD-1002,3,26-07-2025,07-08-2025,Second Class,Delivered,PayPal,4,0,1031.72,CUST-0087,Angela Davis,danafoster@example.net,001-706-723-4456,3132 Eric Expressway Suite 756,Haynesstad,New Jersey,16326,United States,Small Business,06-04-2023,PROD-0059,Pinecrest Vacuum 488,Appliances,Vacuums,Argon,257.93,13.14,Kelly-Combs,Tanzania,SP-007,Deborah Campbell,codylong@larsen.biz,South,Kevin Thompson,09-02-2019,ST-07,North Julie,Louisiana,South
ORD-1003,3,22-12-2025,01-01-2026,Same Day,Processing,Credit Card,1,0,50.72,CUST-0088,Ann Aguirre,margaret90@example.org,521-335-6804x42067,21003 James Locks Suite 199,South Kyle,Kentucky,34425,United States,Small Business,03-03-2025,PROD-0039,Pinecrest Paper 282,Office Supplies,Paper,Pinecrest,50.72,23.9,Thompson PLC,Ghana,SP-013,Jay Mcneil,oharris@flowers.com,South,Kevin Thompson,18-01-2024,ST-02,North Annaville,Maine,Central
ORD-1004,2,11-10-2024,18-10-2024,First Class,Cancelled,Debit Card,8,0,3158.32,CUST-0065,Kristen Rowe,powens@example.com,245-587-7175x3556,48996 Hernandez Isle,Rochaborough,Montana,30650,United States,Small Business,25-06-2022,PROD-0042,Pinecrest Accessorie 782,Electronics,Accessories,Meridian,394.79,27.92,Peterson and Sons,Uruguay,SP-006,Matthew Lawson,gmoore@harris-lee.net,North,Tanya Buchanan,30-11-2022,ST-01,Rodriguezberg,Georgia,North
ORD-1005,2,28-04-2026,08-05-2026,Same Day,Cancelled,Store Credit,9,0.2,1879.27,CUST-0056,Raymond Le,chelsea33@example.com,-5143,98665 Kelly Heights Apt. 574,Barrmouth,Ohio,98456,United States,Home Office,23-12-2022,PROD-0012,Voltura Paper 385,Office Supplies,Paper,Falcon,261.01,5.38,Peterson and Sons,Uruguay,SP-012,Steven Klein,davidtodd@rush.com,South,Kevin Thompson,08-06-2023,ST-05,West Richard,South Carolina,East
ORD-1006,1,07-11-2024,09-11-2024,Same Day,Returned,Store Credit,5,0.05,412.68,CUST-0035,Patricia Le,russellbeasley@example.com,376-361-5654x52711,52809 Santiago Loop Suite 604,Garciaville,Tennessee,79197,United States,Home Office,22-02-2022,PROD-0021,Zenith Chair 971,Furniture,Chairs,Crestline,86.88,2.81,Peterson and Sons,Uruguay,SP-014,Andrea Hughes,rarnold@ellis.org,West,Tiffany Fry,09-02-2022,ST-04,Armstrongfort,Arizona,West
ORD-1007,2,14-07-2026,22-07-2026,Second Class,Processing,PayPal,6,0,979.74,CUST-0086,Elizabeth Dean,frichardson@example.org,001-883-620-6038x5050,83670 Jennifer Course,Smithborough,Maine,6255,United States,Home Office,10-03-2025,PROD-0025,Voltura Laptop 618,Electronics,Laptops,Pinecrest,163.29,14.03,Peterson and Sons,Uruguay,SP-006,Matthew Lawson,gmoore@harris-lee.net,North,Tanya Buchanan,30-11-2022,ST-01,Rodriguezberg,Georgia,North
ORD-1008,1,20-06-2025,29-06-2025,Standard Class,Shipped,Bank Transfer,1,0.1,6.82,CUST-0044,Jennifer Sanders,joe15@example.org,4519522047,010 Lewis Drive Suite 143,Port Shannon,Minnesota,39973,United States,Consumer,11-03-2021,PROD-0018,Nova Table 268,Furniture,Tables,Meridian,7.58,15.68,"Yu, Banks and Thompson",Monaco,SP-010,Dennis Hood,hernandezheather@miller.net,Central,Zachary Sanford,25-01-2021,ST-05,West Richard,South Carolina,East
ORD-1009,3,27-03-2026,08-04-2026,Same Day,Cancelled,Credit Card,8,0.15,7010.94,CUST-0063,Wyatt Young,barbara53@example.com,(483)864-4089,56856 Hernandez Lane Apt. 873,Port Michelle,Arkansas,30037,United States,Corporate,01-02-2022,PROD-0036,Zenith Bookcase 491,Furniture,Bookcases,Nova,1031.02,8.98,"Wolfe, Sloan and Johnson",Reunion,SP-013,Jay Mcneil,oharris@flowers.com,South,Kevin Thompson,18-01-2024,ST-04,Armstrongfort,Arizona,West
ORD-1010,3,13-02-2025,25-02-2025,First Class,Cancelled,Store Credit,4,0,1438.28,CUST-0012,Victor Baker,carlsonmichael@example.com,(798)816-9340x60883,595 Jennifer Hills,Sheilaville,Kentucky,66970,United States,Consumer,16-02-2022,PROD-0019,Falcon Fan 258,Appliances,Fans,Voltura,359.57,38.75,Guzman Inc,Malta,SP-004,Sean Curtis,franciscojones@phillips.com,North,Tanya Buchanan,17-04-2024,ST-07,North Julie,Louisiana,South
